Wavelength,RGB,RB,White
673.907,17.38,15.54,627.56
674.235,17.67,15.4,619.56
674.563,16.81,13.54,615.7
674.892,18.1,13.4,605.41
675.22,16.81,14.54,600.7
675.548,16.1,13.4,591.41
675.876,15.1,14.83,584.27
676.204,16.38,14.68,582.27
676.532,17.1,13.68,573.98
676.859,15.81,14.4,562.41
677.187,18.24,14.11,559.41
677.515,15.67,13.83,549.41
677.843,17.1,13.25,544.98
678.17,15.24,14.11,535.41
678.498,16.67,12.68,533.13
678.826,13.81,14.54,524.84
679.153,14.38,13.11,520.98
679.481,14.67,13.97,511.13
679.808,13.95,14.4,504.84
680.135,15.67,13.25,507.13
